n,parse_fail_rate,abstain_rate,coverage,bal_acc,macro_f1,mcc,mel_recall,acc_on_covered,mean_conf,ece,brier,nll,aurc,risk_at_80cov,overconf_gap,latency_median,latency_p95,run,system,stage,pid,mani,macro_f1_lo,macro_f1_hi,ece_lo,ece_hi,aurc_lo,aurc_hi,mel_recall_lo,mel_recall_hi
2014,0.0,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-0.8B-4bit__B1_v1__ham_test_manifest,Qwen3.5-0.8B-4bit,B1,B1_v1,ham_test_manifest,,,,,,,,
2014,0.16832174776564052,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-0.8B-4bit__B1_v2__ham_test_manifest,Qwen3.5-0.8B-4bit,B1,B1_v2,ham_test_manifest,,,,,,,,
2014,0.0004965243296921549,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-0.8B-4bit__B1_v3__ham_test_manifest,Qwen3.5-0.8B-4bit,B1,B1_v3,ham_test_manifest,,,,,,,,
1735,0.0,0.0,1.0,0.3479324947066882,0.3155672495411671,0.28845322315755617,0.20666666666666667,0.3913544668587896,0.8508414985590775,0.45948703170028776,0.4483381556195965,1.2186814001339503,0.6385382720515674,0.6541786743515849,0.45948703170028793,5.964,6.5533,Qwen3.5-2B-4bit__A_abstain_v1__external_subset,Qwen3.5-2B-4bit,A,A_abstain_v1,external_subset,0.2929521596266962,0.33991350013826727,0.43686268011527346,0.482265273775216,0.5463314014832885,0.6118057323747423,0.1631886574074074,0.25317105947633084
2014,0.0,0.0,1.0,0.3883239079777014,0.34904378937037306,0.34395793075840425,0.1891891891891892,0.6350546176762661,0.8508192651439916,0.21586395233366423,0.27801514399205557,0.7964267032376039,0.2908666001588102,0.37306021104903786,0.2157646474677255,7.983499999999999,9.8242,Qwen3.5-2B-4bit__A_abstain_v1__ham_test_manifest,Qwen3.5-2B-4bit,A,A_abstain_v1,ham_test_manifest,0.31001245375612985,0.38431725599064254,0.1943830685203573,0.23696623634558078,0.3275649956921672,0.3875680063458231,0.14217951398568907,0.24312236548475083
1735,0.0,0.0,1.0,0.33316477768090674,0.3127972868488094,0.2517735046473698,0.06666666666666667,0.36023054755043227,0.8351354466858787,0.4749048991354466,0.45276149855907777,1.2164138516029372,0.6520138871016189,0.6174351585014409,0.4749048991354464,5.799,6.206,Qwen3.5-2B-4bit__A_v1__external_subset,Qwen3.5-2B-4bit,A,A_v1,external_subset,0.2862604319610628,0.33864195528492536,0.45433198847262224,0.4977567723342936,0.5615757102310655,0.6250744701291518,0.04100274564785606,0.09575319906110395
2014,0.0,0.0,1.0,0.35565507092635723,0.3170055337634108,0.33168523723986987,0.08108108108108109,0.6837140019860973,0.8389473684210524,0.1556405163853027,0.23256345580933468,0.6751063675498288,0.16604346104453124,0.2774674115456238,0.1552333664349551,6.6245,10.61515,Qwen3.5-2B-4bit__A_v1__ham_test_manifest,Qwen3.5-2B-4bit,A,A_v1,ham_test_manifest,0.28226780868980106,0.3472253002821315,0.1351453574975171,0.17631703078450828,0.24173740996303195,0.2949940097657931,0.046290962621607784,0.12038043478260868
168,0.0,0.0,1.0,0.35714285714285715,0.3339306270686688,0.25006999323931284,0.03333333333333333,0.35119047619047616,0.8369047619047617,0.48571428571428565,0.46059523809523806,1.237231190024421,0.6877225234665079,0.6119402985074627,0.48571428571428554,3.7295,4.3042,Qwen3.5-2B-4bit__A_v1__ham_val_dev200,Qwen3.5-2B-4bit,A,A_v1,ham_val_dev200,0.25484169329025164,0.39722233389435824,0.4118898809523807,0.5541666666666665,0.519127951699663,0.729144704433838,0.0,0.11538461538461539
2014,0.0,0.0,1.0,0.37549489711209943,0.3287595203349439,0.33118618710089576,0.11261261261261261,0.6534260178748759,0.8564299900695131,0.20330188679245248,0.2649788977159881,0.7635843378418815,0.24111054080040778,0.3513345747982619,0.20300397219463728,3.74,9.844049999999989,Qwen3.5-2B-4bit__A_v2__ham_test_manifest,Qwen3.5-2B-4bit,A,A_v2,ham_test_manifest,0.2952240706486123,0.35978373046028733,0.1833769860973185,0.22517440417080414,0.2717621230410521,0.32257400323665564,0.0721143018018018,0.1538551401869159
2014,0.0004965243296921549,0.0004965243296921549,0.9995034756703078,0.4078466475542048,0.3794054937084451,0.3625002797871718,0.22072072072072071,0.6924987580725286,0.8657327372081469,0.1734326875310481,0.23751217088922005,0.6954011988861455,0.20360451732666549,0.3267080745341615,0.17323397913561833,5.3335,9.352849999999998,Qwen3.5-2B-4bit__A_v3__ham_test_manifest,Qwen3.5-2B-4bit,A,A_v3,ham_test_manifest,0.34277212979789246,0.41287407961201616,0.15290168150313213,0.1943056107249254,0.1985772502221553,0.24502181016262076,0.17141917293233083,0.27312945637858216
